accuracy,alignment_gap,alignment_negative_cosine,alignment_positive_cosine,best_val_macro_f1,experiment,macro_f1,q1_f1,q1_precision,q1_recall,q1_support,q2_f1,q2_precision,q2_recall,q2_support,q3_f1,q3_precision,q3_recall,q3_support,q4_f1,q4_precision,q4_recall,q4_support,retrieval_a2l_median_rank,retrieval_a2l_r1,retrieval_a2l_r10,retrieval_a2l_r5,retrieval_l2a_median_rank,retrieval_l2a_r1,retrieval_l2a_r10,retrieval_l2a_r5,run_id,seed,split,stage,test_evaluated,wall_seconds,weighted_f1,lambda_align,temperature,lambda_uni,gradient_strategy,affect_aware,cspa
0.8102409638554217,0.1853073686361313,0.042802974581718445,0.22811034321784973,0.7988030285709666,multimodal_cagrad,0.7988030285709666,0.7975460122699386,0.7831325301204819,0.8125,80,0.927536231884058,0.8807339449541285,0.9795918367346939,98,0.7428571428571429,0.8253968253968254,0.6753246753246753,77,0.7272727272727273,0.7272727272727273,0.7272727272727273,77,42.0,0.027108434587717056,0.16566264629364014,0.11445783078670502,46.0,0.027108434587717056,0.16265060007572174,0.09036144614219666,final_multimodal_cagrad_seed3407,3407,validation,final_seed,False,76.68765568733215,0.8069344328500987,0.2,0.07,0.4575708941376109,cagrad,False,False
0.8012048192771084,0.2129058539867401,0.0296810083091259,0.2425868660211563,0.7897522379842372,multimodal_cagrad,0.7897522379842372,0.7928994082840237,0.7528089887640449,0.8375,80,0.8962264150943396,0.8333333333333334,0.9693877551020408,98,0.723404255319149,0.796875,0.6623376623376623,77,0.7464788732394366,0.8153846153846154,0.6883116883116883,77,35.0,0.0301204826682806,0.1837349385023117,0.10542168468236923,34.0,0.024096384644508362,0.1867469847202301,0.11144578456878662,final_multimodal_cagrad_seed42,42,validation,final_seed,False,98.7881453037262,0.7965154886776453,0.2,0.07,0.4575708941376109,cagrad,False,False
0.7981927710843374,0.26906540989875793,0.021720530465245247,0.29078593850135803,0.7860497716505521,multimodal_cagrad,0.7860497716505521,0.8227848101265823,0.8333333333333334,0.8125,80,0.9134615384615384,0.8636363636363636,0.9693877551020408,98,0.6962962962962963,0.8103448275862069,0.6103896103896104,77,0.7116564417177914,0.6744186046511628,0.7532467532467533,77,33.0,0.04518072307109833,0.22590361535549164,0.1295180767774582,32.0,0.03614457696676254,0.20481927692890167,0.1265060305595398,final_multimodal_cagrad_seed777,777,validation,final_seed,False,113.35076904296875,0.7944408927904884,0.2,0.07,0.4575708941376109,cagrad,False,False
0.8132530120481928,0.14814616739749908,0.028622975572943687,0.17676913738250732,0.8050018065403404,multimodal_fixed,0.8050018065403404,0.8342857142857143,0.7684210526315789,0.9125,80,0.9072164948453608,0.9166666666666666,0.8979591836734694,98,0.7464788732394366,0.8153846153846154,0.6883116883116883,77,0.7320261437908496,0.7368421052631579,0.7272727272727273,77,44.0,0.024096384644508362,0.1807228922843933,0.08734939992427826,41.0,0.01807228848338127,0.16867469251155853,0.08132530003786087,final_multimodal_fixed_seed123,123,validation,final_seed,False,55.30844688415527,0.8117318070754052,0.2,0.07,0.4575708941376109,scalarization,False,False
0.8102409638554217,0.15386119484901428,0.017606744542717934,0.17146794497966766,0.7959909921354087,multimodal_fixed,0.7959909921354087,0.8235294117647058,0.7777777777777778,0.875,80,0.927536231884058,0.8807339449541285,0.9795918367346939,98,0.7417218543046358,0.7567567567567568,0.7272727272727273,77,0.6911764705882353,0.7966101694915254,0.6103896103896104,77,44.0,0.0150602413341403,0.14156626164913177,0.06927710771560669,47.0,0.01807228848338127,0.15662650763988495,0.08734939992427826,final_multimodal_fixed_seed2026,2026,validation,final_seed,False,53.26260852813721,0.804560465911341,0.2,0.07,0.4575708941376109,scalarization,False,False
0.8102409638554217,0.20029953122138977,0.010448474436998367,0.21074800193309784,0.801205955936136,multimodal_fixed,0.801205955936136,0.8227848101265823,0.8333333333333334,0.8125,80,0.8995215311004785,0.8468468468468469,0.9591836734693877,98,0.7552447552447552,0.8181818181818182,0.7012987012987013,77,0.7272727272727273,0.7272727272727273,0.7272727272727273,77,42.0,0.01807228848338127,0.1265060305595398,0.08433734625577927,42.0,0.0150602413341403,0.14759035408496857,0.07530120760202408,final_multimodal_fixed_seed3407,3407,validation,final_seed,False,71.99856615066528,0.8076197018428303,0.2,0.07,0.4575708941376109,scalarization,False,False
0.8132530120481928,0.19923433661460876,0.01598151959478855,0.21521586179733276,0.8044414324076277,multimodal_fixed,0.8044414324076277,0.8387096774193549,0.8666666666666667,0.8125,80,0.9038461538461539,0.8545454545454545,0.9591836734693877,98,0.7397260273972602,0.782608695652174,0.7012987012987013,77,0.7354838709677419,0.7307692307692307,0.7402597402597403,77,39.0,0.027108434587717056,0.1897590309381485,0.09036144614219666,45.0,0.01807228848338127,0.1807228922843933,0.11144578456878662,final_multimodal_fixed_seed42,42,validation,final_seed,False,65.2575569152832,0.8110387332667971,0.2,0.07,0.4575708941376109,scalarization,False,False
0.8042168674698795,0.1777963787317276,0.04824333265423775,0.22603970766067505,0.7955099837554884,multimodal_fixed,0.7955099837554884,0.8095238095238095,0.7727272727272727,0.85,80,0.9230769230769231,0.9278350515463918,0.9183673469387755,98,0.7299270072992701,0.8333333333333334,0.6493506493506493,77,0.7195121951219512,0.6781609195402298,0.7662337662337663,77,40.0,0.024096384644508362,0.14457830786705017,0.07831325381994247,41.0,0.021084336563944817,0.15662650763988495,0.09638553857803345,final_multimodal_fixed_seed777,777,validation,final_seed,False,59.36613988876343,0.803705607861076,0.2,0.07,0.4575708941376109,scalarization,False,False
0.8162650602409639,0.023359449580311775,0.0019293847726657987,0.025288835167884827,0.8073252127844364,multimodal_noalign,0.8073252127844364,0.825,0.825,0.825,80,0.9207920792079208,0.8942307692307693,0.9489795918367347,98,0.7466666666666667,0.7671232876712328,0.7272727272727273,77,0.7368421052631579,0.7466666666666667,0.7272727272727273,77,108.0,0.009036144241690636,0.05722891539335251,0.0301204826682806,120.0,0.0060240961611270905,0.06927710771560669,0.03614457696676254,final_multimodal_noalign_seed123,123,validation,final_seed,False,53.202492475509644,0.8146620457860625,0.2,0.07,0.4575708941376109,scalarization,False,False
0.8192771084337349,0.0308119785040617,-0.008732575923204422,0.022079402580857277,0.8083565773137531,multimodal_noalign,0.8083565773137531,0.8383233532934131,0.8045977011494253,0.875,80,0.9261083743842364,0.8952380952380953,0.9591836734693877,98,0.7417218543046358,0.7567567567567568,0.7272727272727273,77,0.7272727272727273,0.7878787878787878,0.6753246753246753,77,100.0,0.0,0.048192769289016724,0.024096384644508362,110.0,0.009036144241690636,0.0632530152797699,0.03915662690997124,final_multimodal_noalign_seed2026,2026,validation,final_seed,False,51.39073371887207,0.8160755172728469,0.2,0.07,0.4575708941376109,scalarization,False,False
